+8.687225280E+03,-1.268512089E+01,+0,+0
+7.933045140E+03,-1.479449632E+01,+0,+0
+7.445812891E+03,-1.652329205E+01,+0,+0
+7.065780785E+03,-1.792298562E+01,+0,+0
+6.751777469E+03,-1.904161251E+01,+0,+0
+6.485095123E+03,-1.994876205E+01,+0,+0
+6.255302976E+03,-2.069139711E+01,+0,+0
+6.053843492E+03,-2.131209689E+01,+0,+0
+5.876309162E+03,-2.183900289E+01,+0,+0
+5.717591127E+03,-2.229170494E+01,+0,+0
+5.575493760E+03,-2.268552589E+01,+0,+0
+5.446612064E+03,-2.303299425E+01,+0,+0
+5.329436805E+03,-2.334289073E+01,+0,+0
+5.222192597E+03,-2.362288101E+01,+0,+0
+5.123321366E+03,-2.387718167E+01,+0,+0
+5.031713348E+03,-2.411034001E+01,+0,+0
+4.946392903E+03,-2.432902505E+01,+0,+0
+4.866800954E+03,-2.453237083E+01,+0,+0
+4.792753327E+03,-2.472046156E+01,+0,+0
+4.723243379E+03,-2.489776929E+01,+0,+0
+4.657970286E+03,-2.506526193E+01,+0,+0
+4.596311804E+03,-2.522826782E+01,+0,+0
+4.537753894E+03,-2.538280797E+01,+0,+0
+4.483332745E+03,-2.552612536E+01,+0,+0
+4.430608962E+03,-2.566750649E+01,+0,+0
+4.380070786E+03,-2.580278792E+01,+0,+0
+4.332205810E+03,-2.593696738E+01,+0,+0
+4.287325048E+03,-2.606237440E+01,+0,+0
+4.243425347E+03,-2.618701953E+01,+0,+0
+4.201544257E+03,-2.631018452E+01,+0,+0
+4.161111677E+03,-2.643052405E+01,+0,+0
+4.122882486E+03,-2.654499083E+01,+0,+0
+4.085583432E+03,-2.665887940E+01,+0,+0
+4.050020737E+03,-2.676867615E+01,+0,+0
+4.015611925E+03,-2.687873276E+01,+0,+0
+3.982823568E+03,-2.699206514E+01,+0,+0
+3.950499525E+03,-2.710661145E+01,+0,+0
+3.919353885E+03,-2.721686014E+01,+0,+0
+3.889301008E+03,-2.732421849E+01,+0,+0
+3.860831582E+03,-2.742177569E+01,+0,+0
+3.833161863E+03,-2.751697976E+01,+0,+0
+3.806123564E+03,-2.761199910E+01,+0,+0
+3.780076378E+03,-2.770228008E+01,+0,+0
+3.755108568E+03,-2.779442027E+01,+0,+0
+3.730538492E+03,-2.787990147E+01,+0,+0
+3.706881071E+03,-2.795089952E+01,+0,+0
+3.684634042E+03,-2.800787722E+01,+0,+0
+3.661610977E+03,-2.811451117E+01,+0,+0
+3.636553530E+03,-2.828059438E+01,+0,+0
+3.617218632E+03,-2.829437235E+01,+0,+0
+3.595884527E+03,-2.839202943E+01,+0,+0
+3.571725830E+03,-2.858618622E+01,+0,+0
+3.553928642E+03,-2.859854648E+01,+0,+0
+3.534672517E+03,-2.867663959E+01,+0,+0
+3.512344640E+03,-2.884453408E+01,+0,+0
+3.494774447E+03,-2.889493860E+01,+0,+0
+3.476846191E+03,-2.897226957E+01,+0,+0
+3.457275727E+03,-2.909887129E+01,+0,+0
+3.439967404E+03,-2.916860917E+01,+0,+0
+3.423082259E+03,-2.925479564E+01,+0,+0
+3.404972700E+03,-2.937036880E+01,+0,+0
+3.389229752E+03,-2.943364743E+01,+0,+0
+3.373260572E+03,-2.950909484E+01,+0,+0
+3.356264733E+03,-2.963190694E+01,+0,+0
+3.340655551E+03,-2.971402960E+01,+0,+0
+3.325680437E+03,-2.978445174E+01,+0,+0
+3.310081190E+03,-2.987663114E+01,+0,+0
+3.295191968E+03,-2.997221481E+01,+0,+0
+3.280386932E+03,-3.005946658E+01,+0,+0
+3.265630219E+03,-3.015210550E+01,+0,+0
+3.251421535E+03,-3.023700184E+01,+0,+0
+3.237873191E+03,-3.031464223E+01,+0,+0
+3.223293978E+03,-3.042311831E+01,+0,+0
+3.209834068E+03,-3.050880379E+01,+0,+0
+3.196864530E+03,-3.058273926E+01,+0,+0
+3.183528538E+03,-3.068065837E+01,+0,+0
+3.170238594E+03,-3.077860030E+01,+0,+0
+3.158035838E+03,-3.084987455E+01,+0,+0
+3.145261803E+03,-3.094165776E+01,+0,+0
+3.132507397E+03,-3.104507327E+01,+0,+0
